,0,1,2,3
1,Proteine(%): 16.5,,,
2,Lisina:,1305,7.89,
3,Istidina:,569,3.44,
4,Arginina:,1110,6.71,
5,Acido aspartico:,1550,9.37,
6,Treonina:,734,4.44,
7,Serina:,721,4.36,
8,Acido glutamico:,2446,14.79,
9,Prolina:,901,5.45,
10,Glicina:,1087,6.57,
11,Alanina:,991,5.99,
12,Cistina:,180,1.09,
13,Valina:,901,5.45,
14,Metionina:,450,2.72,
15,Isoleucina:,736,4.45,
16,Leucina:,1312,7.93,
17,Tirosina:,576,3.48,
18,Fenilalanina:,695,4.2,
19,Triptofano:,167,1.01,
20,Indice Chimico:,92,,
21,Aminoacido limitante:,Trip.,,
