,0,1,2,3
1,Proteine(%): 20.5,,,
2,Lisina:,1866,8.62,
3,Istidina:,791,3.69,
4,Arginina:,1230,5.93,
5,Acido aspartico:,1989,9.32,
6,Treonina:,836,3.93,
7,Serina:,838,3.8,
8,Acido glutamico:,3495,15.89,
9,Prolina:,843,4.05,
10,Glicina:,1019,5.02,
11,Alanina:,1261,5.91,
12,Cistina:,223,1,
13,Valina:,990,4.49,
14,Metionina:,588,2.77,
15,Isoleucina:,886,4.13,
16,Leucina:,1763,8.02,
17,Tirosina:,726,3.24,
18,Fenilalanina:,836,3.84,
19,Triptofano:,230,1.04,
20,Indice Chimico:,94,,
21,Aminoacido limitante:,Trip.,,
