,0,1,2
0,Composizione chimica,valore per 100g,RDA (%)
1,Parte edibile,100%,-
2,Acqua,"11,30g",-
3,Carboidrati disponibili,"54,80g",-
4,Carboidrati complessi,"45,40g",-
5,Zuccheri solubili,"4,90g",-
6,Proteine,"27,20g",-
7,Grassi (Lipidi),3g,-
8,Saturi totali,"0,50g",-
9,Monoinsaturi totali,"0,60g",-
10,Polinsaturi totali,"1,26g",-
11,Colesterolo,0,-
12,Fibra totale,7g,-
13,Fibra solubile,,-
14,Fibra insolubile,,-
15,Alcol (g),0,-
16,Sodio,ND,-
17,Potassio,ND,-
18,Ferro,5mg,62.50% RDA
19,Calcio,90mg,9% RDA
20,Fosforo,420mg,60% RDA
21,Magnesio,ND,-
22,Zinco,ND,-
23,Rame,ND,-
24,Selenio,ND,-
25,Tiamina (Vit. B1),"0,50mg",41.67% RDA
26,Riboflavina (Vit. B2),"0,28mg",21.54% RDA
27,Niacina (Vit. B3 o PP),"2,60mg",16.25% RDA
28,Vitamina A retinolo eq.,10µg,1.11% RDA
29,Vitamina C,4mg,4.44% RDA
30,Vitamina E,ND,-
31,Vitamina B6,ND,-
32,Vitamina B12,ND,-
33,Manganese,ND,-
