Valori nutrizionali,per porzione,% RDA
Valore calorico,566 kcal 2.371 kJ,"28,3 %"
Grassi,"27,4 g","42,1 %"
Grassi saturi,"7,5 g","33,9 %"
Grassi monoinsaturi,"8,3 g","28,5 %"
Grassi polinsaturi,"6,7 g","44,6 %"
Carboidrati,"0,0 g","0,0 %"
Zuccheri,"0,0 g","0,0 %"
Proteine,"74,8 g","102,5 %"
Fibre alimentari,"0,0 g","0,0 %"
Colesterolo,"521,0 mg","1.736,5 %"
Sodio,"1,1 g","0,2 %"
Acqua,"343,9 g","17,2 %"
