Minerali,per porzione,% RDA
Calcio,"108,7 mg","10,9 %"
Rame,"0,6 mg","64,3 %"
Ferro,"4,6 mg","30,5 %"
Magnesio,"68,0 mg","22,7 %"
Manganese,"0,3 mg","12,7 %"
Fosforo,"724,8 mg","103,5 %"
Potassio,"602,5 mg","30,1 %"
Selenio,"0,1 mg","431,9 %"
Zinco,"15,4 mg","219,4 %"
