Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,4 mg","39,6 %"
Vitamina B11,"0,0 mg","0,0 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"1,1 mg","80,0 %"
Vitamina B3,"29,2 mg","182,7 %"
Vitamina B5,"3,4 mg","57,0 %"
Vitamina B6,"0,3 mg","22,2 %"
Vitamina C,"0,0 mg","0,0 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"8,8 mg","73,6 %"
Vitamina K,"0,0 mg","0,0 %"
