Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,2 mg","22,1 %"
Vitamina B11,"< 0,1 mg","10,3 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"0,2 mg","12,0 %"
Vitamina B3,"3,3 mg","20,8 %"
Vitamina B5,"1,0 mg","17,0 %"
Vitamina B6,"0,3 mg","20,4 %"
Vitamina C,"2,8 mg","3,5 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,0 mg","0,0 %"
Vitamina K,"0,0 mg","0,0 %"
