,0,1,2
1,Parte edibile (%):,100,
2,Acqua (g):,10.8,
3,Proteine (g):,9.9,
4,Lipidi(g):,23.4,
5,Colesterolo (mg):,0,
6,Carboidrati disponibili (g):,54.6,
7,Amido (g):,,
8,Zuccheri solubili (g):,54.6,
9,Fibra totale (g):,,
10,Fibra solubile (g):,,
11,Fibra insolubile (g):,,
12,Alcol (g):,0,
13,Energia (kcal):,455,
14,Energia (kJ):,1904,
15,Sodio (mg):,,
16,Potassio (mg):,,
17,Ferro (mg):,1.9,
18,Calcio (mg):,59,
19,Fosforo (mg):,242,
20,Magnesio (mg):,,
21,Zinco (mg):,,
22,Rame (mg):,,
23,Selenio (µg):,,
24,Tiamina (mg):,0.11,
25,Riboflavina (mg):,0.36,
26,Niacina (mg):,1.6,
27,Vitamina A retinolo eq. (µg):,tr,
28,Vitamina C (mg):,,
29,Vitamina E (mg):,,
