Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Come vendutoper porzione (50 ml),Cibi a base vegetale,Cibi e bevande a base vegetale
Grassi,?,?,"10,7 g","9,61 g"
Carboidrati,"1,4 g","0,7 g","-97%47,6 g","-97%43,9 g"
Proteine,"1,2 g","0,6 g","-85%7,76 g",-83%7 g
