,0,1,2,3
1,Proteine(%): 20.9,,,
2,Lisina:,1732,8.28,
3,Istidina:,686,3.28,
4,Arginina:,1320,6.31,
5,Acido aspartico:,2019,9.65,
6,Treonina:,906,4.33,
7,Serina:,877,4.19,
8,Acido glutamico:,3301,15.78,
9,Prolina:,927,4.43,
10,Glicina:,1228,5.87,
11,Alanina:,1464,7,
12,Cistina:,251,1.2,
13,Valina:,1174,5.61,
14,Metionina:,529,2.53,
15,Isoleucina:,1077,5.15,
16,Leucina:,1715,8.2,
17,Tirosina:,669,3.2,
18,Fenilalanina:,812,3.88,
19,Triptofano:,197,0.94,
20,Indice Chimico:,85,,
21,Aminoacido limitante:,Trip.,,
