Minerali,per porzione,% RDA
Calcio,"34,1 mg","3,4 %"
Rame,"0,1 mg","14,9 %"
Ferro,"1,2 mg","7,9 %"
Magnesio,"17,4 mg","5,8 %"
Manganese,"0,7 mg","33,8 %"
Fosforo,"194,7 mg","27,8 %"
Potassio,"287,1 mg","14,4 %"
Selenio,"< 0,1 mg","33,5 %"
Zinco,"0,5 mg","7,5 %"
