Minerali,per porzione,% RDA
Calcio,"168,7 mg","16,9 %"
Rame,"0,2 mg","16,2 %"
Ferro,"4,7 mg","31,5 %"
Magnesio,"36,5 mg","12,2 %"
Manganese,"0,3 mg","13,7 %"
Fosforo,"348,8 mg","49,8 %"
Potassio,"389,9 mg","19,5 %"
Selenio,"< 0,1 mg","131,5 %"
Zinco,"4,1 mg","59,0 %"
