Valori nutrizionali,per porzione,% RDA
Valore calorico,184 kcal 769 kJ,"9,2 %"
Grassi,"7,0 g","10,8 %"
Grassi saturi,"1,6 g","7,3 %"
Grassi monoinsaturi,"3,4 g","11,7 %"
Grassi polinsaturi,"1,2 g","8,0 %"
Carboidrati,"0,0 g","0,0 %"
Zuccheri,"0,0 g","0,0 %"
Proteine,"28,2 g","38,6 %"
Fibre alimentari,"0,0 g","0,0 %"
Colesterolo,"104,7 mg","349,1 %"
Sodio,"< 0,1 g","< 0,1 %"
Acqua,"95,1 g","4,8 %"
