Minerali,per porzione,% RDA
Calcio,"57,4 mg","5,7 %"
Rame,"0,2 mg","18,2 %"
Ferro,"1,1 mg","7,5 %"
Magnesio,"15,4 mg","5,1 %"
Manganese,"0,2 mg","11,2 %"
Fosforo,"28,0 mg","4,0 %"
Potassio,"204,4 mg","10,2 %"
Selenio,"< 0,1 mg","1,4 %"
Zinco,"0,3 mg","3,6 %"
