,0,1,2,3
1,Proteine(%): 11.9,,,
2,Lisina:,347,2.92,
3,Istidina:,265,2.23,
4,Arginina:,551,4.63,
5,Acido aspartico:,632,5.31,
6,Treonina:,367,3.08,
7,Serina:,612,5.14,
8,Acido glutamico:,3529,29.66,
9,Prolina:,1285,10.8,
10,Glicina:,490,4.12,
11,Alanina:,428,3.6,
12,Cistina:,265,2.23,
13,Valina:,551,4.63,
14,Metionina:,204,1.71,
15,Isoleucina:,490,4.12,
16,Leucina:,816,6.86,
17,Tirosina:,408,3.43,
18,Fenilalanina:,592,4.97,
19,Triptofano:,163,1.37,
20,Indice Chimico:,50,,
21,Aminoacido limitante:,Lis.,,
