,0,1,2,3
1,Proteine(%): 30.2,,,
2,Lisina:,2694,8.92,
3,Istidina:,1099,3.64,
4,Arginina:,1957,6.48,
5,Acido aspartico:,3138,10.39,
6,Treonina:,1356,4.49,
7,Serina:,1323,4.38,
8,Acido glutamico:,4572,15.14,
9,Prolina:,1081,3.58,
10,Glicina:,1265,4.19,
11,Alanina:,1809,5.99,
12,Cistina:,365,1.21,
13,Valina:,1770,5.86,
14,Metionina:,891,2.95,
15,Isoleucina:,1540,5.1,
16,Leucina:,2537,8.4,
17,Tirosina:,1042,3.45,
18,Fenilalanina:,1193,3.95,
19,Triptofano:,359,1.19,
20,Indice Chimico:,100,,
21,Aminoacido limitante:,Trip.,,
