,0,1,2
0,Composizione chimica,valore per 100g,RDA (%)
1,Parte edibile,100%,-
2,Acqua,"59,30g",-
3,Carboidrati disponibili,"0,40g",-
4,Carboidrati complessi,0,-
5,Zuccheri solubili,0,-
6,Proteine,"33,10g",-
7,Grassi (Lipidi),2g,-
8,Saturi totali,"0,72g",-
9,Monoinsaturi totali,"0,69g",-
10,Polinsaturi totali,"0,40g",-
11,Colesterolo,63mg,-
12,Fibra totale,0,-
13,Fibra solubile,0,-
14,Fibra insolubile,0,-
15,Alcol (g),0,-
16,Sodio,4mg,0.27% RDA
17,Potassio,630mg,13.40% RDA
18,Ferro,"2,63mg",32.88% RDA
19,Calcio,6mg,0.60% RDA
20,Fosforo,269mg,38.43% RDA
21,Magnesio,26mg,6.19% RDA
22,Zinco,"4,51mg",41% RDA
23,Rame,"0,07mg",7% RDA
24,Selenio,0,0% RDA
25,Tiamina (Vit. B1),"0,41mg",34.17% RDA
26,Riboflavina (Vit. B2),"0,13mg",10% RDA
27,Niacina (Vit. B3 o PP),"2,74mg",17.13% RDA
28,Vitamina A retinolo eq.,0,0% RDA
29,Vitamina C,0,0% RDA
30,Vitamina E,"0,14mg",0.93% RDA
31,Vitamina B6,"0,52mg",40% RDA
32,Vitamina B12,"0,77µg",32.08% RDA
33,Manganese,"0,02mg",0.87% RDA
