,0,1,2,3
1,Proteine(%): 21.4,,,
2,Lisina:,1947,9,
3,Istidina:,826,3.85,
4,Arginina:,1284,6.19,
5,Acido aspartico:,2076,9.72,
6,Treonina:,873,4.1,
7,Serina:,875,3.97,
8,Acido glutamico:,3649,16.58,
9,Prolina:,880,4.23,
10,Glicina:,1064,5.25,
11,Alanina:,1316,6.17,
12,Cistina:,233,1.05,
13,Valina:,1034,4.69,
14,Metionina:,614,2.89,
15,Isoleucina:,924,4.31,
16,Leucina:,1840,8.37,
17,Tirosina:,758,3.38,
18,Fenilalanina:,873,4.01,
19,Triptofano:,240,1.08,
20,Indice Chimico:,99,,
21,Aminoacido limitante:,Trip.,,
