Minerali,per porzione,% RDA
Calcio,"3,9 mg","0,4 %"
Rame,"< 0,1 mg","1,7 %"
Ferro,"0,1 mg","0,8 %"
Magnesio,"2,6 mg","0,9 %"
Manganese,"< 0,1 mg","1,1 %"
Fosforo,"4,5 mg","0,6 %"
Potassio,"46,4 mg","2,3 %"
Selenio,"< 0,1 mg","1,1 %"
Zinco,"< 0,1 mg","0,8 %"
