,0,1,2
0,Composizione chimica,valore per 100g,RDA (%)
1,Parte edibile,100%,-
2,Acqua,91g,-
3,Carboidrati disponibili,"3,90g",-
4,Carboidrati complessi,0,-
5,Zuccheri solubili,"3,90g",-
6,Proteine,"2,60g",-
7,Grassi (Lipidi),"0,30g",-
8,Saturi totali,,-
9,Monoinsaturi totali,,-
10,Polinsaturi totali,,-
11,Colesterolo,0,-
12,Fibra totale,"0,90g",-
13,Fibra solubile,,-
14,Fibra insolubile,,-
15,Alcol (g),0,-
16,Sodio,ND,-
17,Potassio,468mg,9.96% RDA
18,Ferro,"5,20mg",65% RDA
19,Calcio,309mg,30.90% RDA
20,Fosforo,41mg,5.86% RDA
21,Magnesio,ND,-
22,Zinco,ND,-
23,Rame,ND,-
24,Selenio,ND,-
25,Tiamina (Vit. B1),ND,-
26,Riboflavina (Vit. B2),ND,-
27,Niacina (Vit. B3 o PP),ND,-
28,Vitamina A retinolo eq.,742µg,82.44% RDA
29,Vitamina C,110mg,100% RDA
30,Vitamina E,ND,-
31,Vitamina B6,ND,-
32,Vitamina B12,ND,-
33,Manganese,ND,-
