0,1
Grassi saturi totali,19.39
C4:0\÷C10:0 (laurico),0.00
C12:0 (laurico),0.10
C14:0 (miristico),0.27
C16:0 (palmitico),9.91
C18:0 (stearico),2.53
C20:0 (arachidico),2.28
C22:0 (beenico),3.25
Grassi monoinsaturi totali,52.52
C14:1 (miristoleico),0.00
C16:1 (palmitoleico),0.00
C18:1 (oleico),51.30
C20:1 (eicosaenoico),0.00
C22:1 (erucico),1.22
Grassi polinsaturi totali,27.87
C18:2 W6 (linoleico),27.87
C18:3 W3 (linolenico),0.00
C20:4 W6 (arachidonico),0.00
C20:5 W3 (eicosapentaenoico - EPA),0.00
C22:6 W3 (docosaesaenoico - DHA),0.00
Rapporto Polinsaturi/Saturi,1.40
