,0,1,2,3
1,Proteine(%): 29,,,
2,Lisina:,1150,3.97,
3,Istidina:,772,2.66,
4,Arginina:,3680,12.69,
5,Acido aspartico:,3736,12.88,
6,Treonina:,884,3.05,
7,Serina:,1428,4.92,
8,Acido glutamico:,5967,10.58,
9,Prolina:,1478,5.1,
10,Glicina:,1856,6.4,
11,Alanina:,1263,4.36,
12,Cistina:,390,1.34,
13,Valina:,1404,4.84,
14,Metionina:,334,1.15,
15,Isoleucina:,1086,3.74,
16,Leucina:,2092,7.21,
17,Tirosina:,1349,4.65,
18,Fenilalanina:,1598,5.51,
19,Triptofano:,318,1.1,
20,Indice Chimico:,68,,
21,Aminoacido limitante:,Lis.,,
