,0,1,2,3
1,Proteine(%): 19,,,
2,Lisina:,1608,8.42,
3,Istidina:,649,3.4,
4,Arginina:,1180,6.18,
5,Acido aspartico:,1953,10.23,
6,Treonina:,810,4.24,
7,Serina:,770,4.03,
8,Acido glutamico:,2810,14.71,
9,Prolina:,791,4.14,
10,Glicina:,961,5.03,
11,Alanina:,1129,5.91,
12,Cistina:,216,1.13,
13,Valina:,1110,5.81,
14,Metionina:,499,2.61,
15,Isoleucina:,1000,5.24,
16,Leucina:,1559,8.16,
17,Tirosina:,638,3.34,
18,Fenilalanina:,711,3.72,
19,Triptofano:,183,0.96,
20,Indice Chimico:,87,,
21,Aminoacido limitante:,Trip.,,
