,0,1,2,3
1,Proteine(%): 23.3,,,
2,Lisina:,2246,9.64,
3,Istidina:,937,4.02,
4,Arginina:,1626,6.98,
5,Acido aspartico:,2265,9.72,
6,Treonina:,1160,4.98,
7,Serina:,1011,4.34,
8,Acido glutamico:,3313,14.22,
9,Prolina:,860,3.69,
10,Glicina:,1025,4.4,
11,Alanina:,1417,6.08,
12,Cistina:,308,1.32,
13,Valina:,1384,5.94,
14,Metionina:,666,2.86,
15,Isoleucina:,1153,4.95,
16,Leucina:,1955,8.39,
17,Tirosina:,802,3.44,
18,Fenilalanina:,974,4.18,
19,Triptofano:,273,1.17,
20,Indice Chimico:,100,,
21,Aminoacido limitante:,Trip.,,
