0,1
Grassi saturi totali,0.33
C4:0\÷C10:0 (laurico),0.00
C12:0 (laurico),4.00
C14:0 (miristico),8.00
C16:0 (palmitico),0.28
C18:0 (stearico),0.01
C20:0 (arachidico),
C22:0 (beenico),
Grassi monoinsaturi totali,0.20
C14:1 (miristoleico),
C16:1 (palmitoleico),4.00
C18:1 (oleico),0.16
C20:1 (eicosaenoico),
C22:1 (erucico),
Grassi polinsaturi totali,0.77
C18:2 W6 (linoleico),0.69
C18:3 W3 (linolenico),0.07
C20:4 W6 (arachidonico),
C20:5 W3 (eicosapentaenoico - EPA),
C22:6 W3 (docosaesaenoico - DHA),
Rapporto Polinsaturi/Saturi,2.30
