,0,1,2,3
1,Proteine(%): 7.9,,,
2,Lisina:,164,2.08,
3,Istidina:,173,2.19,
4,Arginina:,277,3.51,
5,Acido aspartico:,356,4.51,
6,Treonina:,222,2.81,
7,Serina:,418,5.29,
8,Acido glutamico:,2524,31.95,
9,Prolina:,910,11.52,
10,Glicina:,285,3.61,
11,Alanina:,258,3.27,
12,Cistina:,190,2.41,
13,Valina:,410,5.19,
14,Metionina:,127,1.61,
15,Isoleucina:,330,4.18,
16,Leucina:,595,7.53,
17,Tirosina:,217,2.75,
18,Fenilalanina:,417,5.28,
19,Triptofano:,74,0.94,
20,Indice Chimico:,36,,
21,Aminoacido limitante:,Lis.,,
