Minerali,per porzione,% RDA
Calcio,"< 0,1 mg","< 0,1 %"
Rame,"< 0,1 mg","0,5 %"
Ferro,"< 0,1 mg","< 0,1 %"
Magnesio,"0,3 mg","0,1 %"
Manganese,"< 0,1 mg","< 0,1 %"
Fosforo,"0,7 mg","< 0,1 %"
Potassio,"8,5 mg","0,4 %"
Selenio,"0,0 mg","0,0 %"
Zinco,"< 0,1 mg","< 0,1 %"
