Minerali,per porzione,% RDA
Calcio,"183,6 mg","18,4 %"
Rame,"0,2 mg","22,2 %"
Ferro,"2,7 mg","18,2 %"
Magnesio,"53,9 mg","18,0 %"
Manganese,"0,1 mg","5,4 %"
Fosforo,"62,6 mg","8,9 %"
Potassio,"478,5 mg","23,9 %"
Selenio,"< 0,1 mg","2,6 %"
Zinco,"0,7 mg","9,8 %"
