Valori nutrizionali,per porzione,% RDA
Valore calorico,92 kcal 383 kJ,"4,6 %"
Grassi,"2,9 g","4,4 %"
Grassi saturi,"0,8 g","3,5 %"
Grassi monoinsaturi,"0,8 g","2,6 %"
Grassi polinsaturi,"1,1 g","7,1 %"
Carboidrati,"12,9 g","4,8 %"
Zuccheri,"0,0 g","0,0 %"
Proteine,"3,7 g","5,1 %"
Fibre alimentari,"1,2 g","0,4 %"
Colesterolo,"26,8 mg","89,5 %"
Sodio,"0,3 g","< 0,1 %"
Acqua,"23,2 g","1,2 %"
