,0,1,2,3
1,Proteine(%): 21.8,,,
2,Lisina:,1984,9.17,
3,Istidina:,841,3.92,
4,Arginina:,1308,6.31,
5,Acido aspartico:,2115,9.91,
6,Treonina:,889,4.18,
7,Serina:,892,4.05,
8,Acido glutamico:,3717,16.89,
9,Prolina:,896,4.31,
10,Glicina:,1083,5.34,
11,Alanina:,1341,6.29,
12,Cistina:,238,1.06,
13,Valina:,1053,4.78,
14,Metionina:,626,2.94,
15,Isoleucina:,942,4.39,
16,Leucina:,1875,8.53,
17,Tirosina:,772,3.45,
18,Fenilalanina:,889,4.09,
19,Triptofano:,244,1.11,
20,Indice Chimico:,100,,
21,Aminoacido limitante:,Trip.,,
