,0,1,2,3
1,Proteine(%): 24.2,,,
2,Lisina:,2121,8.77,
3,Istidina:,893,3.69,
4,Arginina:,1478,6.11,
5,Acido aspartico:,2281,9.43,
6,Treonina:,1028,4.25,
7,Serina:,958,3.96,
8,Acido glutamico:,3633,15.02,
9,Prolina:,1108,4.58,
10,Glicina:,1335,5.52,
11,Alanina:,1604,6.63,
12,Cistina:,259,1.07,
13,Valina:,1363,5.63,
14,Metionina:,631,2.61,
15,Isoleucina:,1185,4.9,
16,Leucina:,2017,8.34,
17,Tirosina:,837,3.46,
18,Fenilalanina:,982,4.06,
19,Triptofano:,230,0.95,
20,Indice Chimico:,86,,
21,Aminoacido limitante:,Trip.,,
