,0,1,2,3
1,Proteine(%): 5,,,
2,Lisina:,351,7.01,
3,Istidina:,123,2.45,
4,Arginina:,396,7.9,
5,Acido aspartico:,598,11.94,
6,Treonina:,199,3.97,
7,Serina:,276,5.51,
8,Acido glutamico:,795,15.86,
9,Prolina:,206,4.12,
10,Glicina:,202,4.03,
11,Alanina:,231,4.62,
12,Cistina:,54,1.07,
13,Valina:,284,5.66,
14,Metionina:,45,0.9,
15,Isoleucina:,242,4.83,
16,Leucina:,418,8.34,
17,Tirosina:,169,3.38,
18,Fenilalanina:,278,5.54,
19,Triptofano:,47,0.94,
20,Indice Chimico:,79,,
21,Aminoacido limitante:,Solf.,,
