Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Plant-based spreads,Spreads,Cibi a base vegetale,Cibi e bevande a base vegetale
Grassi,"59,3 g","+877%6,07 g","+118%27,2 g","+454%10,7 g","+517%9,61 g"
- Acidi Grassi saturi,5 g,"+662%0,656 g",-58%12 g,"+113%2,35 g","+137%2,11 g"
Carboidrati,"4,5 g","-90%43,7 g","-90%44,9 g","-91%47,6 g","-90%43,9 g"
- Zuccheri,4 g,"-90%41,6 g","-91%44,3 g","-53%8,57 g","-55%8,8 g"
Fibra alimentare,6 g,"+155%2,35 g","+160%2,31 g","+38%4,35 g","+49%4,03 g"
Proteine,"24,3 g","+648%3,25 g","+585%3,55 g","+214%7,75 g","+248%6,98 g"
Sale,"0,01 g","-84%0,061 g","-94%0,172 g","-98%0,594 g","-98%0,534 g"
Sodio,"0,004 g","-84%0,024 g","-94%0,068 g","-98%0,234 g","-98%0,21 g"
"Fruits, vegetables and nuts (estimate from ingredients list)",100 %,"+63%61,5 %","+102%49,4 %",+75%57 %,+75%57 %
Nutrition score - France,-1,"-113%7,82",-106%16,"-132%3,1","-126%3,88"
Nutri-Score,A,C,D,C,C
