Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Yogurt,Fermented foods,Fermented milk products,Latticini
Grassi,"3,3 g","+23%2,69 g","-72%11,9 g","-72%11,9 g","-79%15,4 g"
- Acidi Grassi saturi,"2,5 g","+43%1,75 g","-68%7,9 g","-68%7,9 g","-74%9,61 g"
Carboidrati,15 g,"+22%12,3 g","+109%7,16 g","+109%7,16 g","+146%6,1 g"
- Zuccheri,14 g,"+23%11,4 g","+127%6,16 g","+127%6,16 g","+158%5,42 g"
Proteine,"3,2 g","-18%3,88 g",-68%10 g,-68%10 g,"-59%7,89 g"
Sale,"0,13 g","+15%0,113 g","-75%0,529 g","-75%0,529 g","-68%0,405 g"
Sodio,"0,051 g","+15%0,044 g","-75%0,208 g","-75%0,208 g","-68%0,159 g"
Nutrition score - France,5,"+137%2,11","-21%6,32","-21%6,32","-15%5,86"
Nutri-Score,C,C,C,C,C
