,0,1,2,3
1,Proteine(%): 16.4,,,
2,Lisina:,1178,7.18,
3,Istidina:,456,2.78,
4,Arginina:,1008,6.15,
5,Acido aspartico:,1491,9.09,
6,Treonina:,647,3.95,
7,Serina:,695,4.24,
8,Acido glutamico:,2544,15.51,
9,Prolina:,1275,7.74,
10,Glicina:,1442,8.79,
11,Alanina:,1089,6.64,
12,Cistina:,165,1.01,
13,Valina:,869,5.3,
14,Metionina:,349,2.13,
15,Isoleucina:,688,4.2,
16,Leucina:,1209,7.37,
17,Tirosina:,488,2.98,
18,Fenilalanina:,613,3.74,
19,Triptofano:,120,0.73,
20,Indice Chimico:,66,,
21,Aminoacido limitante:,Trip.,,
