,0,1,2
1,Parte edibile (%):,85,
2,Acqua (g):,84.2,
3,Proteine (g):,0.8,
4,Lipidi(g):,tr,
5,Colesterolo (mg):,0,
6,Carboidrati disponibili (g):,10.2,
7,Amido (g):,0,
8,Zuccheri solubili (g):,10.2,
9,Fibra totale (g):,1.1,
10,Fibra solubile (g):,,
11,Fibra insolubile (g):,,
12,Alcol (g):,0,
13,Energia (kcal):,42,
14,Energia (kJ):,174,
15,Sodio (mg):,2,
16,Potassio (mg):,114,
17,Ferro (mg):,0.4,
18,Calcio (mg):,15,
19,Fosforo (mg):,17,
20,Magnesio (mg):,,
21,Zinco (mg):,,
22,Rame (mg):,,
23,Selenio (µg):,,
24,Tiamina (mg):,0.03,
25,Riboflavina (mg):,0.05,
26,Niacina (mg):,0.4,
27,Vitamina A retinolo eq. (µg):,24,
28,Vitamina C (mg):,7,
29,Vitamina E (mg):,,
