Minerali,per porzione,% RDA
Calcio,"5,0 mg","0,5 %"
Rame,"0,6 mg","55,9 %"
Ferro,"6,4 mg","42,5 %"
Magnesio,"21,0 mg","7,0 %"
Manganese,"< 0,1 mg","1,7 %"
Fosforo,"254,0 mg","36,3 %"
Potassio,"219,0 mg","11,0 %"
Selenio,"< 0,1 mg","129,7 %"
Zinco,"2,9 mg","41,0 %"
