,0,1,2,3
1,Proteine(%): 8,,,
2,Lisina:,200,2.5,
3,Istidina:,190,2.38,
4,Arginina:,1180,14.75,
5,Acido aspartico:,1080,13.5,
6,Treonina:,300,3.75,
7,Serina:,410,5.13,
8,Acido glutamico:,2030,25.38,
9,Prolina:,460,5.75,
10,Glicina:,450,5.63,
11,Alanina:,380,4.75,
12,Cistina:,100,1.25,
13,Valina:,980,12.25,
14,Metionina:,100,1.25,
15,Isoleucina:,310,3.88,
16,Leucina:,590,7.38,
17,Tirosina:,200,2.5,
18,Fenilalanina:,450,5.63,
19,Triptofano:,70,0.88,
20,Indice Chimico:,43,,
21,Aminoacido limitante:,Lis.,,
