,0,1,2
1,Parte edibile (%):,100,
2,Acqua (g):,10.3,
3,Proteine (g):,20.9,
4,Lipidi(g):,6.3,
5,Colesterolo (mg):,0,
6,Carboidrati disponibili (g):,46.9,
7,Amido (g):,39.3,
8,Zuccheri solubili (g):,3.7,
9,Fibra totale (g):,13.6,
10,Fibra solubile (g):,1.13,
11,Fibra insolubile (g):,12.45,
12,Alcol (g):,0,
13,Energia (kcal):,316,
14,Energia (kJ):,1323,
15,Sodio (mg):,6,
16,Potassio (mg):,881,
17,Ferro (mg):,6.4,
18,Calcio (mg):,142,
19,Fosforo (mg):,415,
20,Magnesio (mg):,130,
21,Zinco (mg):,3.2,
22,Rame (mg):,1,
23,Selenio (µg):,2,
24,Tiamina (mg):,0.3,
25,Riboflavina (mg):,0.1,
26,Niacina (mg):,2.5,
27,Vitamina A retinolo eq. (µg):,10,
28,Vitamina C (mg):,tr,
29,Vitamina E (mg):,,
