,0,1,2,3
1,Proteine(%): 20.9,,,
2,Lisina:,1425,6.83,
3,Istidina:,525,2.51,
4,Arginina:,1919,9.19,
5,Acido aspartico:,2389,11.44,
6,Treonina:,798,3.82,
7,Serina:,1058,5.07,
8,Acido glutamico:,3413,16.35,
9,Prolina:,826,3.95,
10,Glicina:,807,3.86,
11,Alanina:,857,4.1,
12,Cistina:,247,1.18,
13,Valina:,966,4.62,
14,Metionina:,226,1.08,
15,Isoleucina:,892,4.27,
16,Leucina:,1609,7.71,
17,Tirosina:,660,3.16,
18,Fenilalanina:,1269,6.08,
19,Triptofano:,224,1.07,
20,Indice Chimico:,90,,
21,Aminoacido limitante:,Solf.,,
