Minerali,per porzione,% RDA
Calcio,"68,3 mg","6,8 %"
Rame,"0,6 mg","59,5 %"
Ferro,"5,2 mg","34,6 %"
Magnesio,"45,5 mg","15,2 %"
Manganese,"0,4 mg","19,9 %"
Fosforo,"197,3 mg","28,2 %"
Potassio,"690,7 mg","34,5 %"
Selenio,"< 0,1 mg","146,7 %"
Zinco,"3,6 mg","51,0 %"
