Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,2 mg","15,1 %"
Vitamina B11,"0,0 mg","0,0 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"0,2 mg","14,6 %"
Vitamina B3,"11,3 mg","70,7 %"
Vitamina B5,"1,5 mg","24,3 %"
Vitamina B6,"0,0 mg","0,0 %"
Vitamina C,"31,4 mg","39,2 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,0 mg","0,0 %"
Vitamina K,"0,0 mg","0,0 %"
