Valori nutrizionali,per porzione,% RDA
Valore calorico,399 kcal 1.670 kJ,"19,9 %"
Grassi,"12,7 g","19,5 %"
Grassi saturi,"3,1 g","14,0 %"
Grassi monoinsaturi,"3,9 g","13,5 %"
Grassi polinsaturi,"3,8 g","25,6 %"
Carboidrati,"68,9 g","25,7 %"
Zuccheri,"36,8 g","73,5 %"
Proteine,"2,4 g","3,3 %"
Fibre alimentari,"5,4 g","1,8 %"
Colesterolo,"0,0 mg","0,0 %"
Sodio,"< 0,1 g","< 0,1 %"
Acqua,"82,9 g","4,1 %"
