,0,1,2,3
1,Proteine(%): 8.7,,,
2,Lisina:,258,2.97,
3,Istidina:,251,2.89,
4,Arginina:,405,4.66,
5,Acido aspartico:,554,6.37,
6,Treonina:,334,3.84,
7,Serina:,432,4.97,
8,Acido glutamico:,1642,18.87,
9,Prolina:,793,9.11,
10,Glicina:,330,3.79,
11,Alanina:,650,7.47,
12,Cistina:,152,1.75,
13,Valina:,472,5.43,
14,Metionina:,155,1.78,
15,Isoleucina:,350,4.02,
16,Leucina:,1028,11.82,
17,Tirosina:,320,3.68,
18,Fenilalanina:,441,5.07,
19,Triptofano:,61,0.7,
20,Indice Chimico:,51,,
21,Aminoacido limitante:,Lis.,,
