Valori nutrizionali,per porzione,% RDA
Valore calorico,388 kcal 1.623 kJ,"19,4 %"
Grassi,"12,0 g","18,5 %"
Grassi saturi,"3,1 g","13,9 %"
Grassi monoinsaturi,"2,5 g","8,6 %"
Grassi polinsaturi,"3,6 g","23,9 %"
Carboidrati,"0,0 g","0,0 %"
Zuccheri,"0,0 g","0,0 %"
Proteine,"65,5 g","89,7 %"
Fibre alimentari,"0,0 g","0,0 %"
Colesterolo,"195,8 mg","652,8 %"
Sodio,"0,6 g","0,1 %"
Acqua,"314,0 g","15,7 %"
