Informazioni nutrizionali,Come vendutoper 100 g / 100 ml
Grassi,8 g
- Acidi Grassi saturi,"1,7 g"
Carboidrati,"48,9 g"
- Zuccheri,"1,3 g"
Fibra alimentare,"2,1 g"
Proteine,"8,1 g"
Sale,"1,7 g"
Sodio,"0,669 g"
Nutrition score - France,9
Nutri-Score,C
