Valori nutrizionali,per porzione,% RDA
Valore calorico,265 kcal 1.109 kJ,"13,2 %"
Grassi,"11,6 g","17,8 %"
Grassi saturi,"1,8 g","8,1 %"
Grassi monoinsaturi,"3,9 g","13,6 %"
Grassi polinsaturi,"4,2 g","28,3 %"
Carboidrati,"0,0 g","0,0 %"
Zuccheri,"0,0 g","0,0 %"
Proteine,"37,7 g","51,6 %"
Fibre alimentari,"0,0 g","0,0 %"
Colesterolo,"118,6 mg","395,3 %"
Sodio,"0,1 g","< 0,1 %"
Acqua,"100,2 g","5,0 %"
