Minerali,per porzione,% RDA
Calcio,"11,2 mg","1,1 %"
Rame,"0,3 mg","34,8 %"
Ferro,"1,9 mg","13,0 %"
Magnesio,"25,6 mg","8,5 %"
Manganese,"1,2 mg","60,0 %"
Fosforo,"90,4 mg","12,9 %"
Potassio,"284,8 mg","14,2 %"
Selenio,"< 0,1 mg","26,9 %"
Zinco,"0,9 mg","12,6 %"
