Minerali,per porzione,% RDA
Calcio,"13,0 mg","1,3 %"
Rame,"< 0,1 mg","4,1 %"
Ferro,"0,7 mg","4,7 %"
Magnesio,"35,0 mg","11,7 %"
Manganese,"< 0,1 mg","1,3 %"
Fosforo,"211,0 mg","30,1 %"
Potassio,"284,0 mg","14,2 %"
Selenio,"< 0,1 mg","42,0 %"
Zinco,"0,4 mg","6,0 %"
