,0,1,2
0,Composizione chimica,valore per 100g,RDA (%)
1,Parte edibile,86%,-
2,Acqua,"86,20g",-
3,Carboidrati disponibili,9g,-
4,Carboidrati complessi,0,-
5,Zuccheri solubili,9g,-
6,Proteine,"0,80g",-
7,Grassi (Lipidi),"0,10g",-
8,Saturi totali,,-
9,Monoinsaturi totali,,-
10,Polinsaturi totali,,-
11,Colesterolo,0,-
12,Fibra totale,"1,30g",-
13,Fibra solubile,"0,49g",-
14,Fibra insolubile,"0,80g",-
15,Alcol (g),0,-
16,Sodio,3mg,0.20% RDA
17,Potassio,229mg,4.87% RDA
18,Ferro,"0,60mg",7.50% RDA
19,Calcio,30mg,3% RDA
20,Fosforo,18mg,2.57% RDA
21,Magnesio,ND,-
22,Zinco,ND,-
23,Rame,ND,-
24,Selenio,ND,-
25,Tiamina (Vit. B1),"0,03mg",2.50% RDA
26,Riboflavina (Vit. B2),"0,03mg",2.31% RDA
27,Niacina (Vit. B3 o PP),"0,50mg",3.13% RDA
28,Vitamina A retinolo eq.,19µg,2.11% RDA
29,Vitamina C,11mg,12.22% RDA
30,Vitamina E,ND,-
31,Vitamina B6,ND,-
32,Vitamina B12,ND,-
33,Manganese,ND,-
