,0,1,2,3
1,Proteine(%): 20.3,,,
2,Lisina:,1801,8.77,
3,Istidina:,711,3.47,
4,Arginina:,1295,6.32,
5,Acido aspartico:,1947,9.49,
6,Treonina:,834,4.07,
7,Serina:,800,3.9,
8,Acido glutamico:,3380,16.47,
9,Prolina:,950,4.62,
10,Glicina:,1234,6.01,
11,Alanina:,1275,6.21,
12,Cistina:,229,1.12,
13,Valina:,956,4.66,
14,Metionina:,558,2.72,
15,Isoleucina:,873,4.26,
16,Leucina:,1671,8.14,
17,Tirosina:,664,3.24,
18,Fenilalanina:,798,3.89,
19,Triptofano:,185,0.9,
20,Indice Chimico:,82,,
21,Aminoacido limitante:,Trip.,,
