Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Come vendutoper porzione (83 g),Meals
Grassi,13 g,"10,8 g","+50%8,64 g"
- Acidi Grassi saturi,"3,8 g","3,15 g","+2%3,74 g"
Carboidrati,51 g,"42,3 g","+103%25,1 g"
- Zuccheri,"3,3 g","2,74 g","-7%3,53 g"
Fibra alimentare,"8,5 g","7,06 g","+270%2,3 g"
Proteine,14 g,"11,6 g","+66%8,41 g"
Sale,1 g,"0,83 g","-10%1,11 g"
Sodio,"0,394 g","0,327 g","-10%0,437 g"
"Fruits, vegetables and nuts (estimate from ingredients list)","4,1 %","4,1 %",?
Nutrition score - France,6,6,"-7%6,45"
Nutri-Score,C,C,C
