Informazioni nutrizionali,Come vendutoper 100 g / 100 ml
Grassi,7 g
- Acidi Grassi saturi,"2,7 g"
Carboidrati,"0,9 g"
- Zuccheri,"0,9 g"
Fibra alimentare,0 g
Proteine,20 g
Sale,"1,699 g"
Sodio,"0,669 g"
Nutrition score - France,5
Nutri-Score,C
