,0,1,2
1,Parte edibile (%):,100,
2,Acqua (g):,12,
3,Proteine (g):,7.5,
4,Lipidi(g):,1.9,
5,Colesterolo (mg):,0,
6,Carboidrati disponibili (g):,77.4,
7,Amido (g):,69.2,
8,Zuccheri solubili (g):,1.2,
9,Fibra totale (g):,1.9,
10,Fibra solubile (g):,0.12,
11,Fibra insolubile (g):,1.8,
12,Alcol (g):,0,
13,Energia (kcal):,337,
14,Energia (kJ):,1411,
15,Sodio (mg):,9,
16,Potassio (mg):,214,
17,Ferro (mg):,1.6,
18,Calcio (mg):,32,
19,Fosforo (mg):,221,
20,Magnesio (mg):,,
21,Zinco (mg):,,
22,Rame (mg):,,
23,Selenio (µg):,,
24,Tiamina (mg):,0.48,
25,Riboflavina (mg):,0.05,
26,Niacina (mg):,4.7,
27,Vitamina A retinolo eq. (µg):,0,
28,Vitamina C (mg):,0,
29,Vitamina E (mg):,0.7,
