Minerali,per porzione,% RDA
Calcio,"8,2 mg","0,8 %"
Rame,"< 0,1 mg","0,4 %"
Ferro,"0,1 mg","0,8 %"
Magnesio,"2,3 mg","0,8 %"
Manganese,"< 0,1 mg","0,2 %"
Fosforo,"2,3 mg","0,3 %"
Potassio,"26,1 mg","1,3 %"
Selenio,"< 0,1 mg","0,5 %"
Zinco,"< 0,1 mg","0,3 %"
