0,1
Grassi saturi totali,54.80
C4:0\÷C10:0 (laurico),9.19
C12:0 (laurico),28.66
C14:0 (miristico),9.49
C16:0 (palmitico),5.40
C18:0 (stearico),1.43
C20:0 (arachidico),0.60
C22:0 (beenico),0.00
Grassi monoinsaturi totali,4.22
C14:1 (miristoleico),0.00
C16:1 (palmitoleico),0.25
C18:1 (oleico),3.96
C20:1 (eicosaenoico),0.00
C22:1 (erucico),0.00
Grassi polinsaturi totali,1.08
C18:2 W6 (linoleico),1.08
C18:3 W3 (linolenico),0.00
C20:4 W6 (arachidonico),0.00
C20:5 W3 (eicosapentaenoico - EPA),0.00
C22:6 W3 (docosaesaenoico - DHA),0.00
Rapporto Polinsaturi/Saturi,0.00
