Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Non-sugared beverages,Non-Alcoholic beverages,Bevande
Grassi,0 g,"-100%0,29 g","-100%0,604 g","-100%0,527 g"
- Acidi Grassi saturi,0 g,"-100%0,05 g","-100%0,133 g","-100%0,118 g"
Carboidrati,"10,6 g","+87%5,66 g","+27%8,35 g","+17%9,03 g"
- Zuccheri,"10,1 g","+124%4,51 g","+34%7,52 g","+25%8,07 g"
Fibra alimentare,"0,2 g",?,"-50%0,4 g","-57%0,46 g"
Proteine,"0,4 g","-22%0,51 g","-47%0,761 g","-46%0,745 g"
Sale,"0,03 g","-3%0,031 g","-83%0,177 g","-78%0,136 g"
Sodio,"0,012 g","-3%0,012 g","-83%0,07 g","-78%0,054 g"
Vitamina E (Alfa-tocoferolo),"1,8 mg",?,?,?
Vitamina C (Acido ascorbico),12 mg,?,?,?
Nutrition score - France,14,"+268%3,8","+121%6,33","+100%6,99"
Nutri-Score,E,C,D,D
