Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Spreadable fats,Animal fats,Milkfat,Butters,Fats,Spreads,Latticini
Grassi,"83,5 g","+5%79,9 g","+5%79,9 g","+5%79,9 g","+5%79,9 g","-4%86,7 g","+207%27,2 g","+442%15,4 g"
- Acidi Grassi saturi,58 g,"+13%51,3 g","+13%51,3 g","+13%51,3 g","+13%51,3 g",+87%31 g,+383%12 g,"+504%9,61 g"
Carboidrati,"0,1 g","-91%1,07 g","-91%1,07 g","-91%1,07 g","-91%1,07 g","-80%0,492 g","-100%44,9 g","-98%6,1 g"
- Zuccheri,"0,1 g","-86%0,708 g","-86%0,708 g","-86%0,708 g","-86%0,708 g","-69%0,327 g","-100%44,3 g","-98%5,42 g"
Proteine,"0,5 g","-82%2,75 g","-82%2,75 g","-82%2,75 g","-82%2,75 g","-61%1,27 g","-86%3,55 g","-94%7,89 g"
Sale,"0,07 g","-28%0,097 g","-28%0,097 g","-28%0,097 g","-28%0,097 g","+44%0,048 g","-59%0,172 g","-83%0,405 g"
Sodio,"0,028 g","-28%0,038 g","-28%0,038 g","-28%0,038 g","-28%0,038 g","+44%0,019 g","-59%0,068 g","-83%0,159 g"
Nutrition score - France,19,"+9%17,5","+9%17,5","+9%17,5","+9%17,5","+35%14,1",+19%16,"+224%5,86"
Nutri-Score,E,D,D,D,D,D,D,C
