Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Come vendutoper porzione (100 g)
Grassi,"37,3 g","37,3 g"
- Acidi Grassi saturi,"17,3 g","17,3 g"
Carboidrati,"49,5 g","49,5 g"
- Zuccheri,"41,2 g","41,2 g"
Proteine,"8,6 g","8,6 g"
Sale,"0,272 g","0,272 g"
Sodio,"0,107 g","0,107 g"
Nutrition score - France,27,27
Nutri-Score,E,E
