,0,1,2,3
1,Proteine(%): 17.9,,,
2,Lisina:,1591,8.89,
3,Istidina:,512,2.86,
4,Arginina:,1240,6.93,
5,Acido aspartico:,1765,9.86,
6,Treonina:,863,4.82,
7,Serina:,811,4.53,
8,Acido glutamico:,2619,14.63,
9,Prolina:,752,4.2,
10,Glicina:,933,5.21,
11,Alanina:,1106,6.18,
12,Cistina:,209,1.17,
13,Valina:,918,5.13,
14,Metionina:,532,2.97,
15,Isoleucina:,895,5,
16,Leucina:,1414,7.9,
17,Tirosina:,584,3.26,
18,Fenilalanina:,702,3.92,
19,Triptofano:,170,0.95,
20,Indice Chimico:,86,,
21,Aminoacido limitante:,Trip.,,
