,0,1,2,3
1,Proteine(%): 21.3,,,
2,Lisina:,1877,8.81,
3,Istidina:,817,3.84,
4,Arginina:,1335,6.27,
5,Acido aspartico:,2133,10.01,
6,Treonina:,941,4.42,
7,Serina:,902,4.23,
8,Acido glutamico:,3257,15.29,
9,Prolina:,849,3.99,
10,Glicina:,1022,4.8,
11,Alanina:,1252,5.88,
12,Cistina:,292,1.37,
13,Valina:,1218,5.72,
14,Metionina:,591,2.77,
15,Isoleucina:,1139,5.35,
16,Leucina:,1741,8.13,
17,Tirosina:,685,3.22,
18,Fenilalanina:,834,3.92,
19,Triptofano:,217,1.02,
20,Indice Chimico:,93,,
21,Aminoacido limitante:,Trip.,,
