Minerali,per porzione,% RDA
Calcio,"79,8 mg","8,0 %"
Rame,"0,7 mg","73,9 %"
Ferro,"3,7 mg","24,6 %"
Magnesio,"134,4 mg","44,8 %"
Manganese,"1,4 mg","67,6 %"
Fosforo,"260,4 mg","37,2 %"
Potassio,"992,6 mg","49,6 %"
Selenio,"0,0 mg","0,0 %"
Zinco,"1,6 mg","23,4 %"
