Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Birra,Bevande alcoliche,Bevande
Grassi,?,?,?,"0,527 g"
Carboidrati,?,?,?,"9,03 g"
Proteine,?,?,?,"0,745 g"
Alcol,"5,5 % vol","-10%6,1 % vol","-43%9,66 % vol","-35%8,48 % vol"
