,0,1,2,3
1,Proteine(%): 18.7,,,
2,Lisina:,1689,9.03,
3,Istidina:,555,2.97,
4,Arginina:,1245,6.66,
5,Acido aspartico:,1833,9.8,
6,Treonina:,911,4.87,
7,Serina:,868,4.64,
8,Acido glutamico:,2798,14.96,
9,Prolina:,774,4.14,
10,Glicina:,952,5.09,
11,Alanina:,1174,6.28,
12,Cistina:,223,1.19,
13,Valina:,980,5.24,
14,Metionina:,582,3.11,
15,Isoleucina:,896,4.79,
16,Leucina:,1509,8.07,
17,Tirosina:,645,3.45,
18,Fenilalanina:,767,4.1,
19,Triptofano:,193,1.03,
20,Indice Chimico:,94,,
21,Aminoacido limitante:,Trip.,,
